site_type,year,mean,CI
Urban_Background,2009,12.39330819,0.626062171
Urban_Background,2010,12.97303305,0.812720694
Urban_Background,2011,13.70484034,0.893151642
Urban_Background,2012,12.56147285,0.768436235
Urban_Background,2013,12.08719676,0.675479967
Urban_Background,2014,12.07975466,0.716146312
Urban_Background,2015,9.771605679,0.528071547
Urban_Background,2016,9.789564396,0.548507071
Urban_Background,2017,9.414699196,0.535408584
Urban_Background,2018,9.925692183,0.466330617
Urban_Background,2019,9.880706492,0.43235285
Urban_Background,2020,7.883404295,0.418183508
Urban_Background,2021,7.932900487,0.391178431
Urban_Traffic,2009,12.77176475,6.889557094
Urban_Traffic,2010,14.36795499,2.770635671
Urban_Traffic,2011,15.96296847,2.547927476
Urban_Traffic,2012,14.13528994,1.957167748
Urban_Traffic,2013,13.34519169,1.581824295
Urban_Traffic,2014,12.58797274,1.330394335
Urban_Traffic,2015,10.94144661,1.06143694
Urban_Traffic,2016,10.94645084,1.301504013
Urban_Traffic,2017,9.929084339,1.599379351
Urban_Traffic,2018,10.60553628,1.195116934
Urban_Traffic,2019,10.0750357,1.099306212
Urban_Traffic,2020,8.059144493,0.782367798
Urban_Traffic,2021,8.323883238,0.948265065
